filename,id,name,pos,season,total,average
thatnewnew,3116406,Tyreek Hill,wr,2023,2151.5,134.46875
thatnewnew,3116406,Tyreek Hill,wr,2024,1615.290965033,107.68606433553333
thatnewnew,4241389,CeeDee Lamb,wr,2023,2123.1,124.88823529411764
thatnewnew,4241389,CeeDee Lamb,wr,2024,1685.2456611189998,112.34971074126665
thatnewnew,4374302,Amon-Ra St. Brown,wr,2023,1892.3,118.26875
thatnewnew,4374302,Amon-Ra St. Brown,wr,2024,1512.5891812680002,100.83927875120001
thatnewnew,3929630,Saquon Barkley,rb,2023,1244.4,88.88571428571429
thatnewnew,3929630,Saquon Barkley,rb,2024,1702.9561947400002,121.6397281957143
thatnewnew,3117251,Christian McCaffrey,rb,2023,2393.8,149.6125
thatnewnew,3117251,Christian McCaffrey,rb,2024,2075.678397002,148.262742643
thatnewnew,4262921,Justin Jefferson,wr,2023,1155.6,115.55999999999999
thatnewnew,4262921,Justin Jefferson,wr,2024,1555.995242156,103.73301614373332
thatnewnew,4047646,A.J. Brown,wr,2023,1668.0,98.11764705882354
thatnewnew,4047646,A.J. Brown,wr,2024,1445.044099618,96.33627330786666
thatnewnew,4362628,Ja'Marr Chase,wr,2023,1523.8,95.2375
thatnewnew,4362628,Ja'Marr Chase,wr,2024,1550.4148951410002,103.36099300940002
thatnewnew,15847,Travis Kelce,te,2023,1185.0,79.0
thatnewnew,15847,Travis Kelce,te,2024,1048.81396711515,69.92093114101
thatnewnew,3918298,Josh Allen,qb,2023,1778.0,104.58823529411765
thatnewnew,3918298,Josh Allen,qb,2024,1680.2203307650002,112.01468871766669
thatnewnew,4430807,Bijan Robinson,rb,2023,1497.7,88.10000000000001
thatnewnew,4430807,Bijan Robinson,rb,2024,1769.844473026,126.417462359
thatnewnew,4430027,Sam LaPorta,te,2023,1166.3,68.60588235294118
thatnewnew,4430027,Sam LaPorta,te,2024,1074.3862654119998,71.62575102746665
thatnewnew,4427366,Breece Hall,rb,2023,2003.3,117.84117647058824
thatnewnew,4427366,Breece Hall,rb,2024,1869.6396538910003,133.54568956364287
thatnewnew,4040715,Jalen Hurts,qb,2023,1650.3999999999999,97.08235294117647
thatnewnew,4040715,Jalen Hurts,qb,2024,1724.754103707,114.9836069138
thatnewnew,3139477,Patrick Mahomes,qb,2023,1423.8,88.9875
thatnewnew,3139477,Patrick Mahomes,qb,2024,1718.1969849040001,114.54646566026668
